               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              2.0224,              3.2495,              2.0244,             0.57921,             0.27778,             0.29431,              0.1832,              1.3258,              2.8465,              1.6441,            0.070526,           0.0032749,           0.0032749
                   1,              1.8104,              2.7485,              2.0704,             0.45305,             0.38889,             0.35581,             0.17976,              1.6193,              2.0595,              1.8381,            0.040117,           0.0061993,           0.0061993
                   2,              1.6377,              2.2978,              1.8792,             0.41186,             0.38889,             0.29228,             0.16357,              1.8965,              4.9069,               2.002,           0.0092961,           0.0087113,           0.0087113
                   3,               1.702,              3.0153,              1.8618,             0.76048,             0.27778,             0.29131,             0.12979,              2.1117,              2.6001,              1.9492,           0.0081437,           0.0081437,           0.0081437
                   4,              1.7975,              2.5902,              1.7806,             0.45804,             0.44444,             0.37167,             0.21884,              1.8018,              2.1506,              1.6368,           0.0081437,           0.0081437,           0.0081437
                   5,              1.6562,              1.9974,              1.7207,             0.40029,             0.44444,             0.38618,             0.19042,              2.1691,              2.1132,              1.9839,            0.007525,            0.007525,            0.007525
                   6,              1.6236,              2.0382,              1.7844,              0.6781,                 0.5,             0.56751,             0.26677,              1.8403,              1.7818,              1.8747,           0.0069063,           0.0069063,           0.0069063
                   7,              1.5365,              1.7145,              1.6803,             0.73588,             0.38889,             0.41984,             0.23165,              1.9957,               1.853,              1.9675,           0.0062875,           0.0062875,           0.0062875
                   8,               1.557,              1.6146,              1.6834,             0.43277,             0.55556,             0.44604,             0.19659,              1.9945,              1.9533,              1.9238,           0.0056688,           0.0056688,           0.0056688
                   9,               1.539,              1.5761,              1.6398,             0.70435,             0.44444,             0.50248,              0.2027,              2.0796,              1.7886,              2.0358,             0.00505,             0.00505,             0.00505
                  10,              1.5281,              1.4693,              1.6418,             0.55785,                 0.5,             0.49472,             0.21795,              1.9212,              1.8514,              1.9519,           0.0044313,           0.0044313,           0.0044313
                  11,              1.4364,              1.3917,              1.6064,             0.72869,             0.61111,             0.62018,             0.25979,              2.0403,              1.7235,              2.0127,           0.0038125,           0.0038125,           0.0038125
                  12,              1.4506,              1.4105,              1.5763,             0.61572,             0.62361,             0.64111,             0.27614,              2.0192,               1.455,              2.0042,           0.0031938,           0.0031938,           0.0031938
                  13,              1.4097,              1.2086,              1.5577,             0.81746,             0.55556,             0.72275,             0.33938,              1.8497,               1.411,              1.7847,            0.002575,            0.002575,            0.002575
                  14,              1.4118,              1.2438,              1.5791,             0.88063,             0.55556,             0.66689,             0.33865,              1.7792,              1.4582,              1.6682,           0.0019563,           0.0019563,           0.0019563
                  15,              1.3665,              1.0883,              1.5137,             0.88027,             0.55556,             0.71146,             0.38164,              1.7791,              1.3038,              1.6384,           0.0013375,           0.0013375,           0.0013375
